subject,base,trial,sex,style,modality,level,age_years,height_cm,mass_kg,bmi_kg_m2,practice_years,grade,dominant_guard,metric,value,window,family,joint,axis,stat,unit
ID008,ZEN,5,F,Goju-Ryu,Kata,International,19,155.0,52.9,22.0,15,1 Dan,Left,pre_com_x_mean_m,0.3666435890897577,pre_strike,com,,,,m
ID008,KOK,1,F,Goju-Ryu,Kata,International,19,155.0,52.9,22.0,15,1 Dan,Left,pre_com_x_mean_m,0.4517352797250899,pre_strike,com,,,,m
ID008,KOK,2,F,Goju-Ryu,Kata,International,19,155.0,52.9,22.0,15,1 Dan,Left,pre_com_x_mean_m,0.457844116004066,pre_strike,com,,,,m
ID008,KOK,3,F,Goju-Ryu,Kata,International,19,155.0,52.9,22.0,15,1 Dan,Left,pre_com_x_mean_m,0.4751289694655949,pre_strike,com,,,,m
ID008,KOK,4,F,Goju-Ryu,Kata,International,19,155.0,52.9,22.0,15,1 Dan,Left,pre_com_x_mean_m,0.4803512502571476,pre_strike,com,,,,m
ID008,KOK,5,F,Goju-Ryu,Kata,International,19,155.0,52.9,22.0,15,1 Dan,Left,pre_com_x_mean_m,0.478629290884165,pre_strike,com,,,,m
ID008,KIB,1,F,Goju-Ryu,Kata,International,19,155.0,52.9,22.0,15,1 Dan,Left,pre_com_x_mean_m,0.4150001809387105,pre_strike,com,,,,m
ID008,KIB,2,F,Goju-Ryu,Kata,International,19,155.0,52.9,22.0,15,1 Dan,Left,pre_com_x_mean_m,0.5033938217242919,pre_strike,com,,,,m
ID008,KIB,3,F,Goju-Ryu,Kata,International,19,155.0,52.9,22.0,15,1 Dan,Left,pre_com_x_mean_m,0.4464308175200761,pre_strike,com,,,,m
ID008,KIB,4,F,Goju-Ryu,Kata,International,19,155.0,52.9,22.0,15,1 Dan,Left,pre_com_x_mean_m,0.4347855124255981,pre_strike,com,,,,m
ID008,KIB,5,F,Goju-Ryu,Kata,International,19,155.0,52.9,22.0,15,1 Dan,Left,pre_com_x_mean_m,0.4204911024482585,pre_strike,com,,,,m
ID009,ZEN,1,F,Shotokan,Kata,National,20,155.0,72.2,30.1,12,1 Dan,Left,pre_com_x_mean_m,0.3383849549758441,pre_strike,com,,,,m
ID009,ZEN,2,F,Shotokan,Kata,National,20,155.0,72.2,30.1,12,1 Dan,Left,pre_com_x_mean_m,0.4237400017186782,pre_strike,com,,,,m
ID009,ZEN,3,F,Shotokan,Kata,National,20,155.0,72.2,30.1,12,1 Dan,Left,pre_com_x_mean_m,0.4224479185217381,pre_strike,com,,,,m
ID009,ZEN,4,F,Shotokan,Kata,National,20,155.0,72.2,30.1,12,1 Dan,Left,pre_com_x_mean_m,0.440644182082169,pre_strike,com,,,,m
ID009,ZEN,5,F,Shotokan,Kata,National,20,155.0,72.2,30.1,12,1 Dan,Left,pre_com_x_mean_m,0.4600085182679344,pre_strike,com,,,,m
