subject,base,trial,filtered,n_frames,rate_hz,duration_s,status,strike_peak_time_s,strike_peak_speed_mps,v3d_com_offset_mm
ID005,KOK,5,True,1620,180.0,8.994444444444444,ok,3.772222222222222,5.417715134724747,15.401331894648132
ID005,KIB,1,True,1620,180.0,8.994444444444444,ok,4.0,5.343794157559869,17.114934717917347
ID005,KIB,2,True,1620,180.0,8.994444444444444,ok,4.016666666666667,5.255658681712378,18.788261638001014
ID005,KIB,3,True,1620,180.0,8.994444444444444,ok,3.9444444444444446,5.900035471577014,17.750467887048988
ID005,KIB,4,True,1620,180.0,8.994444444444444,ok,3.966666666666667,5.432764889518177,19.233102013717943
ID005,KIB,5,True,1620,180.0,8.994444444444444,ok,3.7777777777777777,5.072114351510041,19.86100966848029
ID006,ZEN,1,True,1620,180.0,8.994444444444444,ok,3.7555555555555555,4.6082822572187405,7.238672353765374
ID006,ZEN,2,True,1620,180.0,8.994444444444444,ok,4.027777777777778,4.8561093591328035,7.072776520156804
ID006,ZEN,3,True,1620,180.0,8.994444444444444,ok,4.15,5.1617219811873225,7.002321694354776
ID006,ZEN,4,True,1620,180.0,8.994444444444444,ok,3.966666666666667,4.504884419182045,6.816158332472933
ID006,ZEN,5,True,1620,180.0,8.994444444444444,ok,4.033333333333333,4.816088911199397,6.555482523298811
ID006,KOK,1,True,1620,180.0,8.994444444444444,ok,4.066666666666666,4.858277500421677,18.28909480499829
ID006,KOK,2,True,1620,180.0,8.994444444444444,ok,4.161111111111111,5.006973517846139,17.827499882062856
ID006,KOK,3,True,1620,180.0,8.994444444444444,ok,4.033333333333333,4.628754946588818,17.28765486380197
ID006,KOK,4,True,1620,180.0,8.994444444444444,ok,3.911111111111111,4.7978823385484946,17.833382074918124
ID006,KOK,5,True,1620,180.0,8.994444444444444,ok,3.7111111111111112,4.564549675349392,18.396772024899356
ID006,KIB,1,True,1620,180.0,8.994444444444444,ok,3.988888888888889,5.433393482569225,11.838331998060928
ID006,KIB,2,True,1620,180.0,8.994444444444444,ok,4.072222222222222,4.969634430815814,11.99833972270783
ID006,KIB,3,True,1620,180.0,8.994444444444444,ok,4.111111111111111,5.170938555913329,11.70857304817575
ID006,KIB,4,True,1620,180.0,8.994444444444444,ok,3.683333333333333,4.925599302573081,11.965264675590756
ID006,KIB,5,True,1620,180.0,8.994444444444444,ok,4.055555555555555,4.99343530014443,11.898579796685947
ID006,STATIC,1,True,360,180.0,1.9944444444444445,ok,,,
ID007,ZEN,1,True,1620,180.0,8.994444444444444,ok,3.8777777777777778,6.164504784355476,8.675762443456765
ID007,ZEN,2,True,1620,180.0,8.994444444444444,ok,3.9,5.907086548217274,7.8664900258795
ID007,ZEN,3,True,1620,180.0,8.994444444444444,ok,3.5944444444444446,6.16178196499637,8.148766623712133
ID007,ZEN,4,True,1620,180.0,8.994444444444444,ok,3.65,6.083753966469075,7.204813923599133
ID007,ZEN,5,True,1620,180.0,8.994444444444444,ok,3.8722222222222222,5.813713743333689,8.310354490606075
ID007,KOK,1,True,1620,180.0,8.994444444444444,ok,4.072222222222222,5.634078667256219,20.484180655389782
ID007,KOK,2,True,1620,180.0,8.994444444444444,ok,3.966666666666667,5.7234587582308825,20.50378504762178
ID007,KOK,3,True,1620,180.0,8.994444444444444,ok,3.6277777777777778,5.755434798923702,20.008673725452606
ID007,KOK,4,True,1620,180.0,8.994444444444444,ok,3.5722222222222224,5.693591895105723,20.368805288102212
ID007,KOK,5,True,1620,180.0,8.994444444444444,ok,3.772222222222222,5.754419850134,19.75788810635647
ID007,KIB,1,True,1620,180.0,8.994444444444444,ok,3.727777777777778,5.287890346903723,8.53846177361727
ID007,KIB,2,True,1620,180.0,8.994444444444444,ok,3.977777777777778,5.118159198493877,8.914021916227984
ID007,KIB,3,True,1620,180.0,8.994444444444444,ok,3.5722222222222224,5.085632038899,9.223242626065668
ID007,KIB,4,True,1620,180.0,8.994444444444444,ok,3.827777777777778,5.145810452940196,9.69186985581979
ID007,KIB,5,True,1620,180.0,8.994444444444444,ok,3.672222222222222,5.292369724964399,8.914189373288872
